"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15535","✅ Positive: Invite user with role and state","chromium","Fri Aug 29 17:45:36 IST 2025","passed","Fri Aug 29 17:45:52 IST 2025","📩 Invite Management","invite.spec.js","",""
"","5716","⚠️ Missing Email","chromium","Fri Aug 29 17:46:14 IST 2025","passed","Fri Aug 29 17:46:20 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","13567","➕ Verify ""Add Role"" button navigates to Create Role page","chromium","Fri Aug 29 17:47:25 IST 2025","passed","Fri Aug 29 17:47:39 IST 2025","👥 Roles Management","roles.spec.js","",""
"","23066","✅ Should successfully delete a user","chromium","Fri Aug 29 17:44:31 IST 2025","failed","Fri Aug 29 17:44:54 IST 2025","👥 Browse User Section","browseUser.spec.js","",""
"","18947","🔍 Search for invited user in pending list","chromium","Fri Aug 29 17:45:53 IST 2025","passed","Fri Aug 29 17:46:12 IST 2025","📩 Invite Management","invite.spec.js","",""
"","3917","📩 Forgot Password - Valid Email","chromium","Fri Aug 29 17:46:20 IST 2025","passed","Fri Aug 29 17:46:24 IST 2025","🔐 Login & Logout Functionality","loginFunctionality.spec.js","",""
"","14630","✅ Verify Global Search with Exact Match","chromium","Fri Aug 29 17:47:09 IST 2025","passed","Fri Aug 29 17:47:24 IST 2025","👥 Roles Management","roles.spec.js","",""
"","13062","❌ Negative: Show error when email is missing","chromium","Fri Aug 29 17:45:39 IST 2025","passed","Fri Aug 29 17:45:52 IST 2025","📩 Invite Management","invite.spec.js","",""
"","21687","✏️ Edit permission name","chromium","Fri Aug 29 17:46:37 IST 2025","passed","Fri Aug 29 17:46:59 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
"","15670","✅ Positive: Invite user with valid details","chromium","Fri Aug 29 17:45:36 IST 2025","passed","Fri Aug 29 17:45:52 IST 2025","📩 Invite Management","invite.spec.js","",""
"","12973","⬅️ Back button navigates to Roles list page","chromium","Fri Aug 29 17:45:22 IST 2025","passed","Fri Aug 29 17:45:35 IST 2025","🆕 Create Role Page","createRole.spec.js","",""
"","14288","⬅️ Back button navigates to Permissions list","chromium","Fri Aug 29 17:46:54 IST 2025","passed","Fri Aug 29 17:47:08 IST 2025","🛡️ Permissions Management","permission.spec.js","",""
